model_uid,model_source,model_name,weights,architecture,train_task,train_data,architecture_type,task_cluster,modality,architecture_display,train_task_display,train_data_display,display_name,description,model_source_url,weights_url
torchvision_efficientnet_b1_imagenet1k_v1,torchvision,efficientnet_b1,IMAGENET1K_V1,efficientnet_b1,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-B1,Image-Classification,ImageNet1K,EfficientNet-B1-ImageNet1K,EfficientNet-B1 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_B1_Weights.IMAGENET1K_V1
torchvision_efficientnet_b1_imagenet1k_v2,torchvision,efficientnet_b1,IMAGENET1K_V2,efficientnet_b1,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-B1,Image-Classification,ImageNet1K,EfficientNet-B1-ImageNet1K,EfficientNet-B1 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_B1_Weights.IMAGENET1K_V2
torchvision_efficientnet_b2_imagenet1k_v1,torchvision,efficientnet_b2,IMAGENET1K_V1,efficientnet_b2,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-B2,Image-Classification,ImageNet1K,EfficientNet-B2-ImageNet1K,EfficientNet-B2 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_B2_Weights.IMAGENET1K_V1
torchvision_efficientnet_b3_imagenet1k_v1,torchvision,efficientnet_b3,IMAGENET1K_V1,efficientnet_b3,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-B3,Image-Classification,ImageNet1K,EfficientNet-B3-ImageNet1K,EfficientNet-B3 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_B3_Weights.IMAGENET1K_V1
torchvision_efficientnet_b4_imagenet1k_v1,torchvision,efficientnet_b4,IMAGENET1K_V1,efficientnet_b4,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-B4,Image-Classification,ImageNet1K,EfficientNet-B4-ImageNet1K,EfficientNet-B4 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_B4_Weights.IMAGENET1K_V1
torchvision_efficientnet_b5_imagenet1k_v1,torchvision,efficientnet_b5,IMAGENET1K_V1,efficientnet_b5,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-B5,Image-Classification,ImageNet1K,EfficientNet-B5-ImageNet1K,EfficientNet-B5 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_B5_Weights.IMAGENET1K_V1
torchvision_efficientnet_b6_imagenet1k_v1,torchvision,efficientnet_b6,IMAGENET1K_V1,efficientnet_b6,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-B6,Image-Classification,ImageNet1K,EfficientNet-B6-ImageNet1K,EfficientNet-B6 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_B6_Weights.IMAGENET1K_V1
torchvision_efficientnet_b7_imagenet1k_v1,torchvision,efficientnet_b7,IMAGENET1K_V1,efficientnet_b7,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-B7,Image-Classification,ImageNet1K,EfficientNet-B7-ImageNet1K,EfficientNet-B7 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_B7_Weights.IMAGENET1K_V1
torchvision_efficientnet_v2_l_imagenet1k_v1,torchvision,efficientnet_v2_l,IMAGENET1K_V1,efficientnet_v2_l,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-V2-L,Image-Classification,ImageNet1K,EfficientNet-V2-L-ImageNet1K,EfficientNet-V2-L trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_V2_L_Weights.IMAGENET1K_V1
torchvision_efficientnet_v2_m_imagenet1k_v1,torchvision,efficientnet_v2_m,IMAGENET1K_V1,efficientnet_v2_m,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-V2-M,Image-Classification,ImageNet1K,EfficientNet-V2-M-ImageNet1K,EfficientNet-V2-M trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_V2_M_Weights.IMAGENET1K_V1
torchvision_efficientnet_v2_s_imagenet1k_v1,torchvision,efficientnet_v2_s,IMAGENET1K_V1,efficientnet_v2_s,image_classification,imagenet1k,Convolutional,Supervised,Vision,EfficientNet-V2-S,Image-Classification,ImageNet1K,EfficientNet-V2-S-ImageNet1K,EfficientNet-V2-S trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,EfficientNet_V2_S_Weights.IMAGENET1K_V1
torchvision_googlenet_imagenet1k_v1,torchvision,googlenet,IMAGENET1K_V1,googlenet,image_classification,imagenet1k,Convolutional,Supervised,Vision,GoogLENet,Image-Classification,ImageNet1K,GoogLENet-ImageNet1K,GoogLENet trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,GoogLeNet_Weights.IMAGENET1K_V1
torchvision_inception_v3_imagenet1k_v1,torchvision,inception_v3,IMAGENET1K_V1,inception_v3,image_classification,imagenet1k,Convolutional,Supervised,Vision,Inception-V3,Image-Classification,ImageNet1K,Inception-V3-ImageNet1K,Inception-V3 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,Inception_V3_Weights.IMAGENET1K_V1
torchvision_mnasnet0_5_imagenet1k_v1,torchvision,mnasnet0_5,IMAGENET1K_V1,mnasnet0_5,image_classification,imagenet1k,Convolutional,Supervised,Vision,MNASNet0-5,Image-Classification,ImageNet1K,MNASNet0-5-ImageNet1K,MNASNet0-5 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,MNASNet0_5_Weights.IMAGENET1K_V1
torchvision_mnasnet0_75_imagenet1k_v1,torchvision,mnasnet0_75,IMAGENET1K_V1,mnasnet0_75,image_classification,imagenet1k,Convolutional,Supervised,Vision,MNASNet0-75,Image-Classification,ImageNet1K,MNASNet0-75-ImageNet1K,MNASNet0-75 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,MNASNet0_75_Weights.IMAGENET1K_V1
torchvision_mnasnet1_0_imagenet1k_v1,torchvision,mnasnet1_0,IMAGENET1K_V1,mnasnet1_0,image_classification,imagenet1k,Convolutional,Supervised,Vision,MNASNet1-0,Image-Classification,ImageNet1K,MNASNet1-0-ImageNet1K,MNASNet1-0 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,MNASNet1_0_Weights.IMAGENET1K_V1
torchvision_mnasnet1_3_imagenet1k_v1,torchvision,mnasnet1_3,IMAGENET1K_V1,mnasnet1_3,image_classification,imagenet1k,Convolutional,Supervised,Vision,MNASNet1-3,Image-Classification,ImageNet1K,MNASNet1-3-ImageNet1K,MNASNet1-3 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,MNASNet1_3_Weights.IMAGENET1K_V1
torchvision_maxvit_t_imagenet1k_v1,torchvision,maxvit_t,IMAGENET1K_V1,maxvit_t,image_classification,imagenet1k,Transformer,Supervised,Vision,MaxViT-T,Image-Classification,ImageNet1K,MaxViT-T-ImageNet1K,MaxViT-T trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,MaxVit_T_Weights.IMAGENET1K_V1
torchvision_mobilenet_v2_imagenet1k_v1,torchvision,mobilenet_v2,IMAGENET1K_V1,mobilenet_v2,image_classification,imagenet1k,Convolutional,Supervised,Vision,MobileNet-V2,Image-Classification,ImageNet1K,MobileNet-V2-ImageNet1K,MobileNet-V2 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,MobileNet_V2_Weights.IMAGENET1K_V1
torchvision_mobilenet_v2_imagenet1k_v2,torchvision,mobilenet_v2,IMAGENET1K_V2,mobilenet_v2,image_classification,imagenet1k,Convolutional,Supervised,Vision,MobileNet-V2,Image-Classification,ImageNet1K,MobileNet-V2-ImageNet1K,MobileNet-V2 trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,MobileNet_V2_Weights.IMAGENET1K_V2
torchvision_mobilenet_v3_large_imagenet1k_v1,torchvision,mobilenet_v3_large,IMAGENET1K_V1,mobilenet_v3_large,image_classification,imagenet1k,Convolutional,Supervised,Vision,MobileNet-V3-Large,Image-Classification,ImageNet1K,MobileNet-V3-Large-ImageNet1K,MobileNet-V3-Large trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,MobileNet_V3_Large_Weights.IMAGENET1K_V1
torchvision_mobilenet_v3_large_imagenet1k_v2,torchvision,mobilenet_v3_large,IMAGENET1K_V2,mobilenet_v3_large,image_classification,imagenet1k,Convolutional,Supervised,Vision,MobileNet-V3-Large,Image-Classification,ImageNet1K,MobileNet-V3-Large-ImageNet1K,MobileNet-V3-Large trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,MobileNet_V3_Large_Weights.IMAGENET1K_V2
torchvision_mobilenet_v3_small_imagenet1k_v1,torchvision,mobilenet_v3_small,IMAGENET1K_V1,mobilenet_v3_small,image_classification,imagenet1k,Convolutional,Supervised,Vision,MobileNet-V3-Small,Image-Classification,ImageNet1K,MobileNet-V3-Small-ImageNet1K,MobileNet-V3-Small trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,MobileNet_V3_Small_Weights.IMAGENET1K_V1
torchvision_regnet_x_16gf_imagenet1k_v1,torchvision,regnet_x_16gf,IMAGENET1K_V1,regnet_x_16gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-16GF,Image-Classification,ImageNet1K,RegNet-X-16GF-ImageNet1K,RegNet-X-16GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_16GF_Weights.IMAGENET1K_V1
torchvision_regnet_x_16gf_imagenet1k_v2,torchvision,regnet_x_16gf,IMAGENET1K_V2,regnet_x_16gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-16GF,Image-Classification,ImageNet1K,RegNet-X-16GF-ImageNet1K,RegNet-X-16GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_16GF_Weights.IMAGENET1K_V2
torchvision_regnet_x_1_6gf_imagenet1k_v1,torchvision,regnet_x_1_6gf,IMAGENET1K_V1,regnet_x_1_6gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-1-6GF,Image-Classification,ImageNet1K,RegNet-X-1-6GF-ImageNet1K,RegNet-X-1-6GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_1_6GF_Weights.IMAGENET1K_V1
torchvision_regnet_x_1_6gf_imagenet1k_v2,torchvision,regnet_x_1_6gf,IMAGENET1K_V2,regnet_x_1_6gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-1-6GF,Image-Classification,ImageNet1K,RegNet-X-1-6GF-ImageNet1K,RegNet-X-1-6GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_1_6GF_Weights.IMAGENET1K_V2
torchvision_regnet_x_32gf_imagenet1k_v1,torchvision,regnet_x_32gf,IMAGENET1K_V1,regnet_x_32gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-32GF,Image-Classification,ImageNet1K,RegNet-X-32GF-ImageNet1K,RegNet-X-32GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_32GF_Weights.IMAGENET1K_V1
torchvision_regnet_x_32gf_imagenet1k_v2,torchvision,regnet_x_32gf,IMAGENET1K_V2,regnet_x_32gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-32GF,Image-Classification,ImageNet1K,RegNet-X-32GF-ImageNet1K,RegNet-X-32GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_32GF_Weights.IMAGENET1K_V2
torchvision_regnet_x_3_2gf_imagenet1k_v1,torchvision,regnet_x_3_2gf,IMAGENET1K_V1,regnet_x_3_2gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-3-2GF,Image-Classification,ImageNet1K,RegNet-X-3-2GF-ImageNet1K,RegNet-X-3-2GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_3_2GF_Weights.IMAGENET1K_V1
torchvision_regnet_x_3_2gf_imagenet1k_v2,torchvision,regnet_x_3_2gf,IMAGENET1K_V2,regnet_x_3_2gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-3-2GF,Image-Classification,ImageNet1K,RegNet-X-3-2GF-ImageNet1K,RegNet-X-3-2GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_3_2GF_Weights.IMAGENET1K_V2
torchvision_regnet_x_400mf_imagenet1k_v1,torchvision,regnet_x_400mf,IMAGENET1K_V1,regnet_x_400mf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-400MF,Image-Classification,ImageNet1K,RegNet-X-400MF-ImageNet1K,RegNet-X-400MF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_400MF_Weights.IMAGENET1K_V1
torchvision_regnet_x_400mf_imagenet1k_v2,torchvision,regnet_x_400mf,IMAGENET1K_V2,regnet_x_400mf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-400MF,Image-Classification,ImageNet1K,RegNet-X-400MF-ImageNet1K,RegNet-X-400MF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_400MF_Weights.IMAGENET1K_V2
torchvision_regnet_x_800mf_imagenet1k_v1,torchvision,regnet_x_800mf,IMAGENET1K_V1,regnet_x_800mf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-800MF,Image-Classification,ImageNet1K,RegNet-X-800MF-ImageNet1K,RegNet-X-800MF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_800MF_Weights.IMAGENET1K_V1
torchvision_regnet_x_800mf_imagenet1k_v2,torchvision,regnet_x_800mf,IMAGENET1K_V2,regnet_x_800mf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-800MF,Image-Classification,ImageNet1K,RegNet-X-800MF-ImageNet1K,RegNet-X-800MF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_800MF_Weights.IMAGENET1K_V2
torchvision_regnet_x_8gf_imagenet1k_v1,torchvision,regnet_x_8gf,IMAGENET1K_V1,regnet_x_8gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-8GF,Image-Classification,ImageNet1K,RegNet-X-8GF-ImageNet1K,RegNet-X-8GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_8GF_Weights.IMAGENET1K_V1
torchvision_regnet_x_8gf_imagenet1k_v2,torchvision,regnet_x_8gf,IMAGENET1K_V2,regnet_x_8gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-X-8GF,Image-Classification,ImageNet1K,RegNet-X-8GF-ImageNet1K,RegNet-X-8GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_X_8GF_Weights.IMAGENET1K_V2
torchvision_regnet_y_16gf_imagenet1k_v1,torchvision,regnet_y_16gf,IMAGENET1K_V1,regnet_y_16gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-16GF,Image-Classification,ImageNet1K,RegNet-Y-16GF-ImageNet1K,RegNet-Y-16GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_16GF_Weights.IMAGENET1K_V1
torchvision_regnet_y_16gf_imagenet1k_v2,torchvision,regnet_y_16gf,IMAGENET1K_V2,regnet_y_16gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-16GF,Image-Classification,ImageNet1K,RegNet-Y-16GF-ImageNet1K,RegNet-Y-16GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_16GF_Weights.IMAGENET1K_V2
torchvision_regnet_y_1_6gf_imagenet1k_v1,torchvision,regnet_y_1_6gf,IMAGENET1K_V1,regnet_y_1_6gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-1-6GF,Image-Classification,ImageNet1K,RegNet-Y-1-6GF-ImageNet1K,RegNet-Y-1-6GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_1_6GF_Weights.IMAGENET1K_V1
torchvision_regnet_y_1_6gf_imagenet1k_v2,torchvision,regnet_y_1_6gf,IMAGENET1K_V2,regnet_y_1_6gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-1-6GF,Image-Classification,ImageNet1K,RegNet-Y-1-6GF-ImageNet1K,RegNet-Y-1-6GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_1_6GF_Weights.IMAGENET1K_V2
torchvision_regnet_y_32gf_imagenet1k_v1,torchvision,regnet_y_32gf,IMAGENET1K_V1,regnet_y_32gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-32GF,Image-Classification,ImageNet1K,RegNet-Y-32GF-ImageNet1K,RegNet-Y-32GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_32GF_Weights.IMAGENET1K_V1
torchvision_regnet_y_32gf_imagenet1k_v2,torchvision,regnet_y_32gf,IMAGENET1K_V2,regnet_y_32gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-32GF,Image-Classification,ImageNet1K,RegNet-Y-32GF-ImageNet1K,RegNet-Y-32GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_32GF_Weights.IMAGENET1K_V2
torchvision_regnet_y_3_2gf_imagenet1k_v1,torchvision,regnet_y_3_2gf,IMAGENET1K_V1,regnet_y_3_2gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-3-2GF,Image-Classification,ImageNet1K,RegNet-Y-3-2GF-ImageNet1K,RegNet-Y-3-2GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_3_2GF_Weights.IMAGENET1K_V1
torchvision_regnet_y_3_2gf_imagenet1k_v2,torchvision,regnet_y_3_2gf,IMAGENET1K_V2,regnet_y_3_2gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-3-2GF,Image-Classification,ImageNet1K,RegNet-Y-3-2GF-ImageNet1K,RegNet-Y-3-2GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_3_2GF_Weights.IMAGENET1K_V2
torchvision_regnet_y_400mf_imagenet1k_v1,torchvision,regnet_y_400mf,IMAGENET1K_V1,regnet_y_400mf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-400MF,Image-Classification,ImageNet1K,RegNet-Y-400MF-ImageNet1K,RegNet-Y-400MF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_400MF_Weights.IMAGENET1K_V1
torchvision_regnet_y_400mf_imagenet1k_v2,torchvision,regnet_y_400mf,IMAGENET1K_V2,regnet_y_400mf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-400MF,Image-Classification,ImageNet1K,RegNet-Y-400MF-ImageNet1K,RegNet-Y-400MF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_400MF_Weights.IMAGENET1K_V2
torchvision_regnet_y_800mf_imagenet1k_v1,torchvision,regnet_y_800mf,IMAGENET1K_V1,regnet_y_800mf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-800MF,Image-Classification,ImageNet1K,RegNet-Y-800MF-ImageNet1K,RegNet-Y-800MF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_800MF_Weights.IMAGENET1K_V1
torchvision_regnet_y_800mf_imagenet1k_v2,torchvision,regnet_y_800mf,IMAGENET1K_V2,regnet_y_800mf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-800MF,Image-Classification,ImageNet1K,RegNet-Y-800MF-ImageNet1K,RegNet-Y-800MF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_800MF_Weights.IMAGENET1K_V2
torchvision_regnet_y_8gf_imagenet1k_v1,torchvision,regnet_y_8gf,IMAGENET1K_V1,regnet_y_8gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-8GF,Image-Classification,ImageNet1K,RegNet-Y-8GF-ImageNet1K,RegNet-Y-8GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_8GF_Weights.IMAGENET1K_V1
torchvision_regnet_y_8gf_imagenet1k_v2,torchvision,regnet_y_8gf,IMAGENET1K_V2,regnet_y_8gf,image_classification,imagenet1k,Convolutional,Supervised,Vision,RegNet-Y-8GF,Image-Classification,ImageNet1K,RegNet-Y-8GF-ImageNet1K,RegNet-Y-8GF trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,RegNet_Y_8GF_Weights.IMAGENET1K_V2
torchvision_resnext101_32x8d_imagenet1k_v1,torchvision,resnext101_32x8d,IMAGENET1K_V1,resnext101_32x8d,image_classification,imagenet1k,Convolutional,Supervised,Vision,ResNext101-32X8D,Image-Classification,ImageNet1K,ResNext101-32X8D-ImageNet1K,ResNext101-32X8D trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,ResNeXt101_32X8D_Weights.IMAGENET1K_V1
torchvision_resnext101_32x8d_imagenet1k_v2,torchvision,resnext101_32x8d,IMAGENET1K_V2,resnext101_32x8d,image_classification,imagenet1k,Convolutional,Supervised,Vision,ResNext101-32X8D,Image-Classification,ImageNet1K,ResNext101-32X8D-ImageNet1K,ResNext101-32X8D trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,ResNeXt101_32X8D_Weights.IMAGENET1K_V2
torchvision_resnext101_64x4d_imagenet1k_v1,torchvision,resnext101_64x4d,IMAGENET1K_V1,resnext101_64x4d,image_classification,imagenet1k,Convolutional,Supervised,Vision,ResNext101-64x4D,Image-Classification,ImageNet1K,ResNext101-64x4D-ImageNet1K,ResNext101-64x4D trained on Image-Classification with the ImageNet1K dataset.,pytorch.org/docs/stable/torchvision/models.html,ResNeXt101_64X4D_Weights.IMAGENET1K_V1
